,time_timetuple,time_datetime,ask,bid,cpn,facevalue,y2o_ask,y2o_bid,yield_ask,yield_bid,future_payments_sum_rf_discounted,ytm_rf,yto_rf,spread_offer_ask,spread_offer_bid,spread_maturity_ask,spread_maturity_bid
458,2014-01-06,2014-01-06 00:00:00,100.4,99.01,45.38,1000.0,,,9.1196,9.5183,1081.8247887078471,0.06889454902981614,0.06889454902981614,,,2.2301450970183865,2.6288450970183863
457,2014-01-08,2014-01-08 00:00:00,,99.26,45.38,1000.0,,,,9.6263,1082.6762069522545,0.06870782697068918,0.06870782697068918,,,,2.755517302931082
456,2014-01-09,2014-01-09 00:00:00,100.45,99.55,45.38,1000.0,,,9.0973,9.4968,1082.6705783258235,0.0687908417956601,0.0687908417956601,,,2.218215820433991,2.6177158204339905
455,2014-01-10,2014-01-10 00:00:00,100.45,99.55,45.38,1000.0,,,9.0973,9.4968,1083.2773056340418,0.0686230892215531,0.0686230892215531,,,2.2349910778446915,2.6344910778446913
454,2014-01-13,2014-01-13 00:00:00,100.5,99.55,45.38,1000.0,,,9.0749,9.4978,1084.3738956363013,0.0684155249523797,0.0684155249523797,,,2.2333475047620297,2.65624750476203
453,2014-01-14,2014-01-14 00:00:00,100.45,99.9,45.38,1000.0,,,9.0963,9.2295,1084.9516772534828,0.06825892602509133,0.06825892602509133,,,2.2704073974908665,2.403607397490867
452,2014-01-15,2014-01-15 00:00:00,100.45,100.0,45.38,1000.0,,,9.0963,9.2519,1084.6698814557656,0.06845553394322626,0.06845553394322626,,,2.2507466056773735,2.4063466056773732
451,2014-01-16,2014-01-16 00:00:00,100.45,100.0,45.38,1000.0,,,9.2295,9.2742,1084.189501712855,0.06873449974909318,0.06873449974909318,,,2.3560500250906813,2.400750025090682
450,2014-01-17,2014-01-17 00:00:00,100.5,100.1,45.38,1000.0,,,9.2072,9.2519,1084.037084093001,0.06887886432875089,0.06887886432875089,,,2.3193135671249117,2.3640135671249105
449,2014-01-20,2014-01-20 00:00:00,100.44,100.12,45.38,1000.0,,,9.1848,9.2295,1085.2426498916811,0.06862569498349214,0.06862569498349214,,,2.322230501650786,2.3669305016507867
448,2014-01-21,2014-01-21 00:00:00,100.35,100.15,45.38,1000.0,,,9.1848,9.1848,1084.7734825680736,0.068901744481619,0.068901744481619,,,2.2946255518380996,2.2946255518380996
447,2014-01-22,2014-01-22 00:00:00,100.4,100.25,45.38,1000.0,,,9.1177,9.1848,1084.8149006686428,0.06896672311216615,0.06896672311216615,,,2.2210276887833844,2.2881276887833844
446,2014-01-23,2014-01-23 00:00:00,100.5,100.15,45.38,1000.0,,,9.073,9.1848,1084.877828243496,0.06902292304349955,0.06902292304349955,,,2.1707076956500453,2.282507695650044
445,2014-01-24,2014-01-24 00:00:00,100.35,100.06,45.38,1000.0,,,9.2072,9.2249,1083.7552778792515,0.06957262071688339,0.06957262071688339,,,2.2499379283116614,2.267637928311661
444,2014-01-27,2014-01-27 00:00:00,100.05,99.8,45.38,1000.0,,,9.2975,9.3376,1081.4187746210175,0.0708014936829771,0.0708014936829771,,,2.2173506317022893,2.25745063170229
443,2014-01-28,2014-01-28 00:00:00,100.39,100.15,45.38,1000.0,,,9.2975,9.2072,1083.065398126523,0.07019585297282736,0.07019585297282736,,,2.277914702717263,2.187614702717264
442,2014-01-29,2014-01-29 00:00:00,100.35,100.1,45.38,1000.0,,,9.1401,9.2528,1079.0712299022798,0.0719606729349078,0.0719606729349078,,,1.9440327065092209,2.056732706509221
441,2014-01-30,2014-01-30 00:00:00,100.0,99.56,45.38,1000.0,,,9.2975,9.1848,1074.5402615908374,0.07396746571943376,0.07396746571943376,,,1.9007534280566238,1.7880534280566236
440,2014-01-31,2014-01-31 00:00:00,100.14,99.75,45.38,1000.0,,,9.2342,9.4111,1073.978106020477,0.07429625703633021,0.07429625703633021,,,1.8045742963669786,1.9814742963669785
439,2014-02-03,2014-02-03 00:00:00,100.15,99.55,45.38,1000.0,,,9.2295,9.5034,1073.5421388987916,0.07475319372169749,0.07475319372169749,,,1.7541806278302507,2.02808062783025
438,2014-02-04,2014-02-04 00:00:00,100.0,99.8,45.38,1000.0,,,9.2984,9.3888,1076.507160083795,0.07357644079434329,0.07357644079434329,,,1.940755920565672,2.031155920565671
437,2014-02-05,2014-02-05 00:00:00,100.1,100.01,45.38,1000.0,,,9.2528,9.2752,1079.562488361175,0.07236351962659703,0.07236351962659703,,,2.0164480373402984,2.0388480373402977
436,2014-02-06,2014-02-06 00:00:00,100.1,99.66,45.38,1000.0,,,9.2528,9.2984,1080.3676434261945,0.07210881879040056,0.07210881879040056,,,2.041918120959945,2.0875181209599454
435,2014-02-07,2014-02-07 00:00:00,100.2,100.01,45.38,1000.0,,,9.2528,9.2938,1081.4094673898555,0.07175316987506639,0.07175316987506639,,,2.077483012493362,2.1184830124933605
434,2014-02-10,2014-02-10 00:00:00,100.22,99.81,45.38,1000.0,,,9.1988,9.2621,1082.5083560220628,0.07154728379616929,0.07154728379616929,,,2.0440716203830718,2.1073716203830717
433,2014-02-11,2014-02-11 00:00:00,100.3,99.57,45.38,1000.0,,,9.1615,9.4959,1081.9373004026586,0.07187861402721886,0.07187861402721886,,,1.9736385972781143,2.308038597278115
432,2014-02-12,2014-02-12 00:00:00,100.25,99.56,45.38,1000.0,,,9.1848,9.5015,1083.6901180062885,0.0712177872381748,0.0712177872381748,,,2.0630212761825186,2.3797212761825195
